#miRNA	read_count	precursor	total	F01	F02	F03	F01(norm)	F02(norm)	F03(norm)
bta-miR-219-3p	0.00	bta-mir-219-1	0.00	0	0	0	0	0	0
bta-miR-219	0.00	bta-mir-219-2	0.00	0	0	0	0	0	0
bta-miR-22-5p	0.00	bta-mir-22	0.00	0	0	0	0	0	0
bta-miR-22-3p	60.00	bta-mir-22	60.00	16.00	21.00	23.00	5282.27	5991.44	8270.41
bta-miR-221	0.00	bta-mir-221	0.00	0	0	0	0	0	0
bta-miR-222	0.00	bta-mir-222	0.00	0	0	0	0	0	0
bta-miR-223	0.00	bta-mir-223	0.00	0	0	0	0	0	0
bta-miR-224	0.00	bta-mir-224	0.00	0	0	0	0	0	0
bta-miR-2284a	1.00	bta-mir-2284a	1.00	0	0	1.00	0	0	359.58
bta-miR-2284aa	0.00	bta-mir-2284aa-1	0.00	0	0	0	0	0	0
bta-miR-2284aa	0.00	bta-mir-2284aa-2	0.00	0	0	0	0	0	0
bta-miR-2284aa	0.00	bta-mir-2284aa-3	0.00	0	0	0	0	0	0
bta-miR-2284aa	0.00	bta-mir-2284aa-4	0.00	0	0	0	0	0	0
bta-miR-2284ab	0.00	bta-mir-2284ab	0.00	0	0	0	0	0	0
bta-miR-2284ac	0.00	bta-mir-2284ac	0.00	0	0	0	0	0	0
bta-miR-2284b	0.00	bta-mir-2284b	0.00	0	0	0	0	0	0
bta-miR-2284c	0.00	bta-mir-2284c	0.00	0	0	0	0	0	0
bta-miR-2284d	0.00	bta-mir-2284d	0.00	0	0	0	0	0	0
bta-miR-2284e	0.00	bta-mir-2284e	0.00	0	0	0	0	0	0
bta-miR-2284f	0.00	bta-mir-2284f	0.00	0	0	0	0	0	0
bta-miR-2284e	0.00	bta-mir-2284f	0.00	0	0	0	0	0	0
bta-miR-2284g	0.00	bta-mir-2284g	0.00	0	0	0	0	0	0
bta-miR-2284h-5p	1.00	bta-mir-2284h	1.00	0	1.00	0	0	285.31	0
bta-miR-2284h-3p	0.00	bta-mir-2284h	0.00	0	0	0	0	0	0
bta-miR-2284i	0.00	bta-mir-2284i	0.00	0	0	0	0	0	0
bta-miR-2284j	2.00	bta-mir-2284j	2.00	0	0	2.00	0	0	719.17
bta-miR-2284k	1.00	bta-mir-2284k	1.00	0	1.00	0	0	285.31	0
bta-miR-2284l	0.00	bta-mir-2284l	0.00	0	0	0	0	0	0
bta-miR-2284m	3.00	bta-mir-2284m	3.00	0	1.00	2.00	0	285.31	719.17
bta-miR-2284n	0.00	bta-mir-2284n	0.00	0	0	0	0	0	0
bta-miR-2284o	0.00	bta-mir-2284o	0.00	0	0	0	0	0	0
bta-miR-2284p	0.00	bta-mir-2284p	0.00	0	0	0	0	0	0
bta-miR-2284q	0.00	bta-mir-2284q	0.00	0	0	0	0	0	0
bta-miR-2284r	0.00	bta-mir-2284r	0.00	0	0	0	0	0	0
bta-miR-2284s	0.00	bta-mir-2284s	0.00	0	0	0	0	0	0
bta-miR-2284t-5p	0.00	bta-mir-2284t	0.00	0	0	0	0	0	0
bta-miR-2284t-3p	0.00	bta-mir-2284t	0.00	0	0	0	0	0	0
bta-miR-2284u	0.00	bta-mir-2284u	0.00	0	0	0	0	0	0
bta-miR-2284v	0.00	bta-mir-2284v	0.00	0	0	0	0	0	0
bta-miR-2284w	0.00	bta-mir-2284w	0.00	0	0	0	0	0	0
bta-miR-2284x	388.00	bta-mir-2284x	388.00	137.00	114.00	137.00	45229.45	32524.96	49262.86
bta-miR-2284y	388.00	bta-mir-2284x	388.00	137.00	114.00	137.00	45229.45	32524.96	49262.86
bta-miR-2284y	13.00	bta-mir-2284y-1	13.00	2.00	7.00	4.00	660.28	1997.15	1438.33
bta-miR-2284y	14.00	bta-mir-2284y-2	14.00	2.00	8.00	4.00	660.28	2282.45	1438.33
bta-miR-2284y	13.00	bta-mir-2284y-3	13.00	2.00	7.00	4.00	660.28	1997.15	1438.33
bta-miR-2284h-5p	13.00	bta-mir-2284y-4	13.00	2.00	7.00	4.00	660.28	1997.15	1438.33
bta-miR-2284y	13.00	bta-mir-2284y-4	13.00	2.00	7.00	4.00	660.28	1997.15	1438.33
bta-miR-2284y	14.00	bta-mir-2284y-5	14.00	2.00	8.00	4.00	660.28	2282.45	1438.33
bta-miR-2284y	13.00	bta-mir-2284y-6	13.00	2.00	7.00	4.00	660.28	1997.15	1438.33
bta-miR-2284y	13.00	bta-mir-2284y-7	13.00	2.00	7.00	4.00	660.28	1997.15	1438.33
bta-miR-2284z	2.00	bta-mir-2284z-1	2.00	1.00	0	1.00	330.14	0	359.58
bta-miR-2284aa	2.00	bta-mir-2284z-1	2.00	1.00	0	1.00	330.14	0	359.58
bta-miR-2284z	2.00	bta-mir-2284z-2	2.00	1.00	0	1.00	330.14	0	359.58
bta-miR-2284aa	2.00	bta-mir-2284z-2	2.00	1.00	0	1.00	330.14	0	359.58
bta-miR-2284z	0.00	bta-mir-2284z-3	0.00	0	0	0	0	0	0
bta-miR-2284aa	0.00	bta-mir-2284z-3	0.00	0	0	0	0	0	0
bta-miR-2284z	2.00	bta-mir-2284z-4	2.00	1.00	0	1.00	330.14	0	359.58
bta-miR-2284aa	2.00	bta-mir-2284z-4	2.00	1.00	0	1.00	330.14	0	359.58
bta-miR-2284z	0.00	bta-mir-2284z-5	0.00	0	0	0	0	0	0
bta-miR-2284aa	0.00	bta-mir-2284z-5	0.00	0	0	0	0	0	0
bta-miR-2284z	0.00	bta-mir-2284z-6	0.00	0	0	0	0	0	0
bta-miR-2284aa	0.00	bta-mir-2284z-6	0.00	0	0	0	0	0	0
bta-miR-2284z	0.00	bta-mir-2284z-7	0.00	0	0	0	0	0	0
bta-miR-2284aa	0.00	bta-mir-2284z-7	0.00	0	0	0	0	0	0
bta-miR-2285a	0.00	bta-mir-2285a	0.00	0	0	0	0	0	0
bta-miR-2285aa	0.00	bta-mir-2285aa	0.00	0	0	0	0	0	0
bta-miR-2285ab	0.00	bta-mir-2285ab	0.00	0	0	0	0	0	0
bta-miR-2285ac	0.00	bta-mir-2285ac	0.00	0	0	0	0	0	0
bta-miR-2285ad	1.00	bta-mir-2285ad	1.00	0	0	1.00	0	0	359.58
bta-miR-2285ae	0.00	bta-mir-2285ae	0.00	0	0	0	0	0	0
bta-miR-2285af	0.00	bta-mir-2285af-1	0.00	0	0	0	0	0	0
bta-miR-2285af	0.00	bta-mir-2285af-2	0.00	0	0	0	0	0	0
bta-miR-2285b	6.00	bta-mir-2285b-1	6.00	1.00	3.00	2.00	330.14	855.92	719.17
bta-miR-2285b	6.00	bta-mir-2285b-2	6.00	1.00	3.00	2.00	330.14	855.92	719.17
bta-miR-2285c	0.00	bta-mir-2285c	0.00	0	0	0	0	0	0
bta-miR-2285d	0.00	bta-mir-2285d	0.00	0	0	0	0	0	0
bta-miR-2285e	1.00	bta-mir-2285e-1	1.00	0	0	1.00	0	0	359.58
bta-miR-2285e	2.00	bta-mir-2285e-2	2.00	0	1.00	1.00	0	285.31	359.58
bta-miR-2285f	4.00	bta-mir-2285f-1	4.00	1.00	2.00	1.00	330.14	570.61	359.58
bta-miR-2285f	4.00	bta-mir-2285f-2	4.00	1.00	2.00	1.00	330.14	570.61	359.58
bta-miR-2285g	0.00	bta-mir-2285g-1	0.00	0	0	0	0	0	0
bta-miR-2285g	0.00	bta-mir-2285g-2	0.00	0	0	0	0	0	0
bta-miR-2285g	0.00	bta-mir-2285g-3	0.00	0	0	0	0	0	0
bta-miR-2285h	0.00	bta-mir-2285h	0.00	0	0	0	0	0	0
bta-miR-2285i	0.00	bta-mir-2285i	0.00	0	0	0	0	0	0
bta-miR-2285j	0.00	bta-mir-2285j-1	0.00	0	0	0	0	0	0
bta-miR-2285j	0.00	bta-mir-2285j-2	0.00	0	0	0	0	0	0
bta-miR-2285k	0.00	bta-mir-2285k-1	0.00	0	0	0	0	0	0
bta-miR-2285k	0.00	bta-mir-2285k-2	0.00	0	0	0	0	0	0
bta-miR-2285k	0.00	bta-mir-2285k-3	0.00	0	0	0	0	0	0
bta-miR-2285k	0.00	bta-mir-2285k-4	0.00	0	0	0	0	0	0
bta-miR-2285k	0.00	bta-mir-2285k-5	0.00	0	0	0	0	0	0
bta-miR-2285l	0.00	bta-mir-2285l	0.00	0	0	0	0	0	0
bta-miR-2285m	1.00	bta-mir-2285m-1	1.00	0	0	1.00	0	0	359.58
bta-miR-2285m	0.00	bta-mir-2285m-2	0.00	0	0	0	0	0	0
bta-miR-2285m	1.00	bta-mir-2285m-3	1.00	0	0	1.00	0	0	359.58
bta-miR-2285m	1.00	bta-mir-2285m-4	1.00	0	0	1.00	0	0	359.58
bta-miR-2285m	0.00	bta-mir-2285m-5	0.00	0	0	0	0	0	0
