#miRNA	read_count	precursor
bta-miR-2289	0	bta-mir-2289
bta-miR-2290	0	bta-mir-2290
bta-miR-2291	0	bta-mir-2291
bta-miR-2292	0	bta-mir-2292
bta-miR-2293	0	bta-mir-2293
bta-miR-2294	0	bta-mir-2294
bta-miR-2295	0	bta-mir-2295
bta-miR-2296	0	bta-mir-2296
bta-miR-2297	0	bta-mir-2297
bta-miR-2298	0	bta-mir-2298
bta-miR-2299-5p	0	bta-mir-2299
bta-miR-2299-3p	0	bta-mir-2299
bta-miR-2300a-5p	0	bta-mir-2300a
bta-miR-2300b-3p	0	bta-mir-2300b
bta-miR-2301	0	bta-mir-2301
bta-miR-2302	0	bta-mir-2302
bta-miR-2303	0	bta-mir-2303
bta-miR-2304	0	bta-mir-2304
bta-miR-2305	0	bta-mir-2305
bta-miR-2306	0	bta-mir-2306
bta-miR-2307	0	bta-mir-2307
bta-miR-2308	0	bta-mir-2308
bta-miR-2309	0	bta-mir-2309
bta-miR-2310	0	bta-mir-2310
bta-miR-2311	0	bta-mir-2311
bta-miR-2312	0	bta-mir-2312
bta-miR-2313-5p	0	bta-mir-2313
bta-miR-2313-3p	0	bta-mir-2313
bta-miR-2314	0	bta-mir-2314
bta-miR-2315	0	bta-mir-2315
bta-miR-2316	0	bta-mir-2316
bta-miR-2317	0	bta-mir-2317
bta-miR-2318	0	bta-mir-2318
bta-miR-2319a	0	bta-mir-2319a
bta-miR-2319b	0	bta-mir-2319a
bta-miR-2319b	0	bta-mir-2319b
bta-miR-2320-5p	0	bta-mir-2320
bta-miR-2320-3p	0	bta-mir-2320
bta-miR-2321	0	bta-mir-2321
bta-miR-2322-5p	0	bta-mir-2322
bta-miR-2322-3p	0	bta-mir-2322
bta-miR-2323	0	bta-mir-2323
bta-miR-2324	0	bta-mir-2324
bta-miR-2325a	0	bta-mir-2325a
bta-miR-2325b	0	bta-mir-2325b
bta-miR-2325c	0	bta-mir-2325c
bta-miR-2326	0	bta-mir-2326
bta-miR-2327	0	bta-mir-2327
bta-miR-2328-5p	0	bta-mir-2328
bta-miR-2328-3p	0	bta-mir-2328
bta-miR-2329-3p	0	bta-mir-2329-1
bta-miR-2329-5p	0	bta-mir-2329-1
bta-miR-2329-3p	0	bta-mir-2329-2
bta-miR-2329-5p	0	bta-mir-2329-2
bta-miR-2330-5p	0	bta-mir-2330
bta-miR-2330-3p	0	bta-mir-2330
bta-miR-2331-5p	0	bta-mir-2331
bta-miR-2331-3p	0	bta-mir-2331
bta-miR-2332	0	bta-mir-2332
bta-miR-2333	0	bta-mir-2333
bta-miR-2334	0	bta-mir-2334
bta-miR-2335	0	bta-mir-2335
bta-miR-2336	3	bta-mir-2336
bta-miR-2337	0	bta-mir-2337
bta-miR-2338	0	bta-mir-2338
bta-miR-2339	0	bta-mir-2339
bta-miR-2340	0	bta-mir-2340
bta-miR-2341	0	bta-mir-2341
bta-miR-2342	0	bta-mir-2342
bta-miR-2343	0	bta-mir-2343
bta-miR-2344	0	bta-mir-2344
bta-miR-2345	0	bta-mir-2345
bta-miR-2346	0	bta-mir-2346
bta-miR-2347	0	bta-mir-2347
bta-miR-2348	0	bta-mir-2348
bta-miR-2349	0	bta-mir-2349
bta-miR-2350	0	bta-mir-2350
bta-miR-2351	0	bta-mir-2351
